text,category
"The financial report shows Q2 earnings of $2.1M and $600K net profit.","Financial" 
"Q3 financial results: Revenue $2.1M Expenses $1.5M Net $600K","Financial"
"Profit and loss statement showing $2M revenue and $1.5M costs","Financial"
"Quarterly earnings report with $2.1 million in revenue","Financial"
"Balance sheet showing $5M assets and $3M liabilities","Financial"
"Annual budget forecasting $10M revenue and $8M expenses with $2M net profit","Financial"
"Q3 financial statement: Revenue $2.1M, Costs $1.5M, Profit $600K","Financial"
"Earnings report showing $2.1 million in quarterly revenue","Financial"
"Financial results: Q3 revenue $2.1M, expenses $1.5M, net $600K","Financial"
"Technical specifications for the new processor model.","Technical"
"Project requirements document outlining software features.","Technical"
"API documentation for version 2.0.","Technical"
"This legal document contains terms and conditions.","Legal"
"Non-disclosure agreement between two parties.","Legal"
"Patent application for new invention.","Legal"
